Name,Address,City,State,ZIP,Description
Blue Moon Historic Perrysburg,233 E. 6th St,Perrysburg,OH,43551,"Fri-Sun 9am-2pm | Crystal, pottery, Ethan Allen furniture"
Blue Moon Maumee,4049 Secluded Ravine,Maumee,OH,43537,"Fri-Sat 9am-2pm | Southwest decor, Native American pottery"
Pop Warehouse 3 Estates,509 Main St,Toledo,OH,43605,"Fri-Sat 9am-4pm | Multi-estate warehouse sale"
West Toledo Closing Home,5224 Saddle Creek Road,Toledo,OH,43623,"Fri-Sat 9am-4pm | Thomasville, mahogany furniture"
Crafters Overflow Best Deals,302 North Macomb,Monroe,MI,48162,"Fri-Sat 9am-5pm | Crafting supplies, Christmas items"
